"DateTime	PSNR-DateTime	PSNR-Value	PSNR-MeanA	PSNR-MeanH	PSNR-Min	PSNR-Max	PSNR-StdDevP	SSIM-DateTime	SSIM-Value	SSIM-MeanA	SSIM-MeanH	SSIM-Min	SSIM-Max	SSIM-StdDevP	VMAF-DateTime	VMAF-Value	VMAF-MeanA	VMAF-MeanH	VMAF-Min	VMAF-Max	VMAF-StdDevP	PSNR-Options	SSIM-Options	VMAF-Options	Frame	Bitrate	FileSpec	FFMetrics	FFMpeg"
"2025-02-04 18:10:21	2025-02-04 18:07:28	24.574497	37.272153	32.694092	3.080000	100.000000	11.437503	2025-02-04 18:09:18	0.949855	0.949855	0.942797	0.423301	1.000000	0.073086											1274x720-25p, yuv420p (tv)	1535	E:\Convert\out\[DC] Welcome to Japan Ms.Elf - 01_Telegram (720p_HEVC).mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-04 18:10:21	2025-02-04 18:08:31	24.588644	38.875253	33.501161	3.080000	100.000000	12.681608	2025-02-04 18:10:21	0.951676	0.951676	0.944395	0.423301	1.000000	0.074245											1920x1080-25p, yuv420p (tv)	2195	E:\Convert\out\[DC] Welcome to Japan Ms.Elf - 01_Telegram (1080p_HEVC).mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-04 18:20:17	2025-02-04 18:19:00	12.585218	15.441356	13.352513	3.270000	81.920000	6.285412	2025-02-04 18:20:17	0.693868	0.693868	0.660461	0.346605	0.999994	0.147115											1280x720-25i, yuv420p (tv)	1211	E:\Convert\out\���������� �� �������������������������"
"2025-02-04 18:23:21	2025-02-04 18:22:43	12.281825	14.604629	12.831050	3.120000	100.000000	5.809511	2025-02-04 18:23:21	0.707998	0.707998	0.687729	0.377806	1.000000	0.114537											1280x720-25p, yuv420p (tv)	1225	E:\Convert\out\���������� �� �������������������������"
"2025-02-05 19:57:28	2025-02-05 19:56:12	48.243989	48.886095	48.777461	39.250000	76.830000	2.288177	2025-02-05 19:57:28	0.992353	0.992353	0.992338	0.950319	0.999980	0.003801											1920x1080-23.98?, yuv420p10le (tv)	1056	E:\Convert\files\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p_HEVC].mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 17:54:38	47.896592	48.556149	48.442036	39.210000	76.830000	2.346272	2025-02-06 18:23:16	0.99189	0.991890	0.991873	0.946371	0.999983	0.004114											1920x1080-23.98p, yuv420p10le (tv)	1001	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 17:55:50	48.244071	48.884354	48.775949	39.400000	76.830000	2.285967	2025-02-06 18:24:28	0.992358	0.992358	0.992344	0.955125	0.999980	0.003780											1920x1080-23.98p, yuv420p10le (tv)	1020	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-0.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 17:57:02	48.247464	48.887906	48.779508	39.420000	76.830000	2.285844	2025-02-06 18:25:40	0.992362	0.992362	0.992347	0.955149	0.999980	0.003778											1920x1080-23.98p, yuv420p10le (tv)	1017	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-01.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 17:58:15	48.413305	49.079973	48.967256	39.440000	76.830000	2.337874	2025-02-06 18:26:52	0.99262	0.992620	0.992606	0.956306	0.999983	0.003689											1920x1080-23.98p, yuv420p10le (tv)	1060	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-02.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 17:59:28	48.448055	49.113106	49.000818	39.490000	76.830000	2.334098	2025-02-06 18:28:05	0.992664	0.992664	0.992650	0.956657	0.999986	0.003653											1920x1080-23.98p, yuv420p10le (tv)	1075	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-03.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:00:40	48.447464	49.112729	49.000387	39.490000	76.830000	2.334815	2025-02-06 18:29:18	0.992664	0.992664	0.992650	0.956707	0.999986	0.003654											1920x1080-23.98p, yuv420p10le (tv)	1075	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-04.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:01:52	47.895335	48.554581	48.440473	39.220000	76.830000	2.346543	2025-02-06 18:30:30	0.99188	0.991880	0.991863	0.946322	0.999983	0.004117											1920x1080-23.98p, yuv420p10le (tv)	1001	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-05.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:03:04	47.896592	48.556149	48.442036	39.210000	76.830000	2.346272	2025-02-06 18:31:42	0.99189	0.991890	0.991873	0.946371	0.999983	0.004114											1920x1080-23.98p, yuv420p10le (tv)	1001	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-06.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:04:16	47.896592	48.556149	48.442036	39.210000	76.830000	2.346272	2025-02-06 18:32:55	0.99189	0.991890	0.991873	0.946371	0.999983	0.004114											1920x1080-23.98p, yuv420p10le (tv)	1001	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-07.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:05:29	48.716546	49.440559	49.320162	39.450000	76.830000	2.419552	2025-02-06 18:34:08	0.993075	0.993075	0.993061	0.951774	0.999988	0.003613											1920x1080-23.98p, yuv420p10le (tv)	1115	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-08.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:06:40	47.883092	48.544748	48.430327	39.060000	77.010000	2.349325	2025-02-06 18:35:20	0.991867	0.991867	0.991849	0.946458	0.999987	0.004134											1920x1080-23.98p, yuv420p10le (tv)	1008	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-10.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:07:51	47.981873	48.607086	48.499204	39.530000	76.830000	2.283815	2025-02-06 18:36:32	0.991727	0.991727	0.991710	0.946721	0.999986	0.004073											1920x1080-23.98p, yuv420p10le (tv)	999	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-11.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:09:03	48.853642	49.531448	49.419294	39.790000	76.830000	2.337822	2025-02-06 18:37:45	0.992989	0.992989	0.992977	0.952252	0.999987	0.003494											1920x1080-23.98p, yuv420p10le (tv)	1113	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-12.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:10:11	48.646304	49.322158	49.209289	39.550000	76.830000	2.342224	2025-02-06 18:38:54	0.992705	0.992705	0.992692	0.951304	0.999986	0.003609											1920x1080-23.98p, yuv420p10le (tv)	1107	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-13.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:11:23	47.907212	48.567128	48.452922	39.270000	76.830000	2.347958	2025-02-06 18:40:06	0.991908	0.991908	0.991891	0.946797	0.999983	0.004110											1920x1080-23.98p, yuv420p10le (tv)	991	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-15.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:12:35	47.907212	48.567128	48.452922	39.270000	76.830000	2.347958	2025-02-06 18:41:18	0.991908	0.991908	0.991891	0.946797	0.999983	0.004110											1920x1080-23.98p, yuv420p10le (tv)	991	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-16.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:13:46	47.897223	48.559170	48.444671	39.270000	76.830000	2.350155	2025-02-06 18:42:29	0.991892	0.991892	0.991875	0.946791	0.999984	0.004127											1920x1080-23.98p, yuv420p10le (tv)	1010	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-17.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:14:57	47.909696	48.571400	48.457055	39.280000	76.830000	2.348456	2025-02-06 18:43:41	0.991923	0.991923	0.991906	0.946624	0.999980	0.004118											1920x1080-23.98p, yuv420p10le (tv)	1009	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-18.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:16:09	47.908653	48.569888	48.455614	39.290000	76.830000	2.347602	2025-02-06 18:44:53	0.991914	0.991914	0.991897	0.946659	0.999981	0.004121											1920x1080-23.98p, yuv420p10le (tv)	1010	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-19.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:17:20	47.90415	48.563455	48.449306	39.260000	77.200000	2.348093	2025-02-06 18:46:04	0.991902	0.991902	0.991885	0.946354	0.999989	0.004110											1920x1080-23.98p, yuv420p10le (tv)	995	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-20.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:18:32	47.90415	48.563455	48.449306	39.260000	77.200000	2.348093	2025-02-06 18:47:16	0.991902	0.991902	0.991885	0.946354	0.999989	0.004110											1920x1080-23.98p, yuv420p10le (tv)	995	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-21.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:19:43	47.894257	48.555816	48.441423	39.270000	76.830000	2.348599	2025-02-06 18:48:27	0.991888	0.991888	0.991870	0.946352	0.999983	0.004127											1920x1080-23.98p, yuv420p10le (tv)	1013	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-22.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:20:54	47.906894	48.568258	48.453941	39.250000	76.830000	2.348359	2025-02-06 18:49:39	0.991918	0.991918	0.991901	0.946506	0.999984	0.004118											1920x1080-23.98p, yuv420p10le (tv)	1012	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-23.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-06 18:50:51	2025-02-06 18:22:05	47.906505	48.567534	48.453299	39.300000	76.830000	2.347197	2025-02-06 18:50:51	0.99191	0.991910	0.991893	0.946551	0.999982	0.004122											1920x1080-23.98p, yuv420p10le (tv)	1013	E:\Convert\out\Nanatsu_no_Maken_ga_Shihai_suru_[02]_[AniLibria_TV]_[WEBRip_1080p]_HEVC-24.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-07 11:13:14	2025-02-07 10:07:40	43.778796	45.447267	44.870389	32.290000	104.300000	6.519014	2025-02-07 10:41:17	0.988482	0.988482	0.988451	0.938141	1.000000	0.005479											1920x804-25p, yuv420p10le (tv)	3380	E:\Convert\out\FBS NF 124 (1080P AVC)_HEVC.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-07 11:13:14	2025-02-07 10:09:06	43.881417	45.516349	44.949380	31.880000	110.830000	6.487759	2025-02-07 10:42:39	0.988763	0.988763	0.988734	0.934812	1.000000	0.005356											1920x804-25p, yuv420p10le (tv)	3371	E:\Convert\out\FBS NF 124 (1080P AVC)_HEVC-0.mkv	1.5	7.1-full_build-www.gyan.dev"
"2025-02-07 11:13:14	2025-02-07 10:10:32	43.882668	45.509643	44.947262	31.880000	110.830000	6.456426	2025-02-07 10:44:02	0.988764	0.988764	0.988735	0.934812	1.000000	0.005354											1920x804-25p, yuv420p10le (tv)	3370	E:\Convert\out\FBS NF 124 (1080P AVC)_HEVC-01.mkv	1.5	7.1-full_build-www.gyan.dev"
