n:1 mse_avg:176.84 mse_y:228.33 mse_u:61.73 mse_v:85.98 psnr_avg:37.72 psnr_y:36.61 psnr_u:42.29 psnr_v:40.85 
n:2 mse_avg:195093.99 mse_y:290870.53 mse_u:2943.56 mse_v:4138.27 psnr_avg:7.30 psnr_y:5.56 psnr_u:25.51 psnr_v:24.03 
n:3 mse_avg:30003.48 mse_y:44978.03 mse_u:12.33 mse_v:96.41 psnr_avg:15.43 psnr_y:13.67 psnr_u:49.29 psnr_v:40.36 
n:4 mse_avg:29953.81 mse_y:44901.92 mse_u:20.77 mse_v:94.38 psnr_avg:15.43 psnr_y:13.67 psnr_u:47.02 psnr_v:40.45 
n:5 mse_avg:69.19 mse_y:97.33 mse_u:11.49 mse_v:14.31 psnr_avg:41.80 psnr_y:40.32 psnr_u:49.59 psnr_v:48.64 
n:6 mse_avg:599.16 mse_y:892.17 mse_u:11.81 mse_v:14.45 psnr_avg:32.42 psnr_y:30.69 psnr_u:49.47 psnr_v:48.60 
n:7 mse_avg:1345.20 mse_y:2010.80 mse_u:11.89 mse_v:16.13 psnr_avg:28.91 psnr_y:27.16 psnr_u:49.44 psnr_v:48.12 
n:8 mse_avg:2442.12 mse_y:3656.00 mse_u:12.52 mse_v:16.18 psnr_avg:26.32 psnr_y:24.57 psnr_u:49.22 psnr_v:48.11 
n:9 mse_avg:47.87 mse_y:65.64 mse_u:12.19 mse_v:12.49 psnr_avg:43.40 psnr_y:42.03 psnr_u:49.34 psnr_v:49.23 
n:10 mse_avg:4710.83 mse_y:7048.50 mse_u:52.58 mse_v:18.36 psnr_avg:23.47 psnr_y:21.72 psnr_u:42.99 psnr_v:47.56 
n:11 mse_avg:5767.80 mse_y:8609.70 mse_u:147.02 mse_v:20.94 psnr_avg:22.59 psnr_y:20.85 psnr_u:38.52 psnr_v:46.99 
n:12 mse_avg:10450.55 mse_y:15585.74 mse_u:305.90 mse_v:54.44 psnr_avg:20.01 psnr_y:18.27 psnr_u:35.34 psnr_v:42.84 
n:13 mse_avg:52.81 mse_y:66.32 mse_u:39.97 mse_v:11.61 psnr_avg:42.97 psnr_y:41.98 psnr_u:44.18 psnr_v:49.55 
n:14 mse_avg:8445.87 mse_y:12510.81 mse_u:601.92 mse_v:30.04 psnr_avg:20.93 psnr_y:19.22 psnr_u:32.40 psnr_v:45.42 
n:15 mse_avg:15563.31 mse_y:23138.57 mse_u:710.93 mse_v:114.65 psnr_avg:18.28 psnr_y:16.55 psnr_u:31.68 psnr_v:39.60 
n:16 mse_avg:33799.46 mse_y:50507.96 mse_u:559.47 mse_v:205.48 psnr_avg:14.91 psnr_y:13.16 psnr_u:32.72 psnr_v:37.07 
n:17 mse_avg:29.55 mse_y:34.53 mse_u:27.15 mse_v:12.06 psnr_avg:45.49 psnr_y:44.82 psnr_u:45.86 psnr_v:49.38 
n:18 mse_avg:12232.64 mse_y:17964.33 mse_u:1363.16 mse_v:175.39 psnr_avg:19.32 psnr_y:17.65 psnr_u:28.85 psnr_v:37.76 
n:19 mse_avg:11006.96 mse_y:15810.49 mse_u:2692.80 mse_v:106.99 psnr_avg:19.78 psnr_y:18.21 psnr_u:25.90 psnr_v:39.90 
n:20 mse_avg:16062.99 mse_y:23279.46 mse_u:3103.26 mse_v:156.83 psnr_avg:18.14 psnr_y:16.53 psnr_u:25.28 psnr_v:38.24 
n:21 mse_avg:72.48 mse_y:85.23 mse_u:79.02 mse_v:14.92 psnr_avg:41.60 psnr_y:40.89 psnr_u:41.22 psnr_v:48.46 
n:22 mse_avg:12452.67 mse_y:17673.12 mse_u:3936.79 mse_v:86.74 psnr_avg:19.24 psnr_y:17.72 psnr_u:24.25 psnr_v:40.82 
n:23 mse_avg:12788.66 mse_y:18120.68 mse_u:4158.37 mse_v:90.86 psnr_avg:19.13 psnr_y:17.62 psnr_u:24.01 psnr_v:40.61 
n:24 mse_avg:18357.50 mse_y:26360.50 mse_u:4504.04 mse_v:198.97 psnr_avg:17.56 psnr_y:15.99 psnr_u:23.66 psnr_v:37.21 
n:25 mse_avg:75.18 mse_y:84.38 mse_u:97.47 mse_v:16.06 psnr_avg:41.44 psnr_y:40.93 psnr_u:40.31 psnr_v:48.14 
n:26 mse_avg:26705.90 mse_y:39063.03 mse_u:2894.91 mse_v:1088.33 psnr_avg:15.93 psnr_y:14.28 psnr_u:25.58 psnr_v:29.83 
n:27 mse_avg:24117.41 mse_y:35197.22 mse_u:2375.30 mse_v:1540.24 psnr_avg:16.37 psnr_y:14.73 psnr_u:26.44 psnr_v:28.32 
n:28 mse_avg:20188.90 mse_y:29158.79 mse_u:4169.55 mse_v:328.66 psnr_avg:17.15 psnr_y:15.55 psnr_u:24.00 psnr_v:35.03 
n:29 mse_avg:56.31 mse_y:63.55 mse_u:65.43 mse_v:18.24 psnr_avg:42.69 psnr_y:42.17 psnr_u:42.04 psnr_v:47.59 
n:30 mse_avg:19277.92 mse_y:26672.42 mse_u:8798.47 mse_v:179.38 psnr_avg:17.35 psnr_y:15.94 psnr_u:20.75 psnr_v:37.66 
n:31 mse_avg:21997.28 mse_y:30569.72 mse_u:9490.68 mse_v:214.14 psnr_avg:16.77 psnr_y:15.34 psnr_u:20.42 psnr_v:36.89 
n:32 mse_avg:24888.84 mse_y:35411.28 mse_u:7328.65 mse_v:359.30 psnr_avg:16.24 psnr_y:14.71 psnr_u:21.55 psnr_v:34.64 
n:33 mse_avg:93.35 mse_y:101.70 mse_u:133.79 mse_v:19.51 psnr_avg:40.50 psnr_y:40.12 psnr_u:38.93 psnr_v:47.30 
n:34 mse_avg:30326.94 mse_y:42762.76 mse_u:6833.81 mse_v:4076.80 psnr_avg:15.38 psnr_y:13.89 psnr_u:21.85 psnr_v:24.09 
n:35 mse_avg:28000.51 mse_y:39592.00 mse_u:4467.21 mse_v:5167.83 psnr_avg:15.73 psnr_y:14.22 psnr_u:23.70 psnr_v:23.06 
n:36 mse_avg:23841.05 mse_y:33692.28 mse_u:5549.58 mse_v:2727.61 psnr_avg:16.42 psnr_y:14.92 psnr_u:22.75 psnr_v:25.84 
n:37 mse_avg:78.57 mse_y:91.76 mse_u:71.92 mse_v:32.45 psnr_avg:41.25 psnr_y:40.57 psnr_u:41.63 psnr_v:45.09 
n:38 mse_avg:24104.45 mse_y:34616.34 mse_u:4535.93 mse_v:1625.37 psnr_avg:16.38 psnr_y:14.80 psnr_u:23.63 psnr_v:28.09 
n:39 mse_avg:13425.03 mse_y:18588.36 mse_u:4580.30 mse_v:1616.42 psnr_avg:18.92 psnr_y:17.51 psnr_u:23.59 psnr_v:28.11 
n:40 mse_avg:18747.44 mse_y:25948.83 mse_u:6157.60 mse_v:2531.73 psnr_avg:17.47 psnr_y:16.06 psnr_u:22.30 psnr_v:26.16 
n:41 mse_avg:40.38 mse_y:44.28 mse_u:37.14 mse_v:28.00 psnr_avg:44.14 psnr_y:43.74 psnr_u:44.50 psnr_v:45.73 
n:42 mse_avg:12989.21 mse_y:18110.52 mse_u:3592.69 mse_v:1900.45 psnr_avg:19.06 psnr_y:17.62 psnr_u:24.64 psnr_v:27.41 
n:43 mse_avg:14934.09 mse_y:20616.01 mse_u:4881.40 mse_v:2259.12 psnr_avg:18.46 psnr_y:17.06 psnr_u:23.31 psnr_v:26.66 
n:44 mse_avg:18620.78 mse_y:25444.18 mse_u:5940.25 mse_v:4007.67 psnr_avg:17.50 psnr_y:16.14 psnr_u:22.46 psnr_v:24.17 
n:45 mse_avg:71.68 mse_y:75.03 mse_u:77.44 mse_v:52.50 psnr_avg:41.64 psnr_y:41.45 psnr_u:41.31 psnr_v:43.00 
n:46 mse_avg:20596.47 mse_y:24820.39 mse_u:9498.47 mse_v:14798.78 psnr_avg:17.06 psnr_y:16.25 psnr_u:20.42 psnr_v:18.50 
n:47 mse_avg:12222.74 mse_y:16580.86 mse_u:4502.57 mse_v:2510.43 psnr_avg:19.33 psnr_y:18.00 psnr_u:23.66 psnr_v:26.20 
n:48 mse_avg:19493.79 mse_y:26151.11 mse_u:7558.01 mse_v:4800.33 psnr_avg:17.30 psnr_y:16.02 psnr_u:21.41 psnr_v:23.38 
n:49 mse_avg:93.15 mse_y:93.72 mse_u:123.28 mse_v:60.77 psnr_avg:40.51 psnr_y:40.48 psnr_u:39.29 psnr_v:42.36 
n:50 mse_avg:30020.55 mse_y:38734.15 mse_u:12580.49 mse_v:12606.23 psnr_avg:15.42 psnr_y:14.32 psnr_u:19.20 psnr_v:19.19 
n:51 mse_avg:10437.71 mse_y:14296.50 mse_u:2761.73 mse_v:2678.53 psnr_avg:20.01 psnr_y:18.65 psnr_u:25.79 psnr_v:25.92 
n:52 mse_avg:24242.70 mse_y:32458.68 mse_u:9808.40 mse_v:5813.06 psnr_avg:16.35 psnr_y:15.08 psnr_u:20.28 psnr_v:22.55 
n:53 mse_avg:51.58 mse_y:57.83 mse_u:58.99 mse_v:19.22 psnr_avg:43.07 psnr_y:42.58 psnr_u:42.49 psnr_v:47.36 
n:54 mse_avg:15949.14 mse_y:22540.05 mse_u:5168.71 mse_v:365.94 psnr_avg:18.17 psnr_y:16.67 psnr_u:23.06 psnr_v:34.56 
n:55 mse_avg:20209.10 mse_y:28706.27 mse_u:6037.72 mse_v:391.79 psnr_avg:17.14 psnr_y:15.62 psnr_u:22.39 psnr_v:34.27 
n:56 mse_avg:55229.34 mse_y:77113.68 mse_u:20720.80 mse_v:2200.56 psnr_avg:12.78 psnr_y:11.33 psnr_u:17.03 psnr_v:26.77 
n:57 mse_avg:50.57 mse_y:56.13 mse_u:57.15 mse_v:21.75 psnr_avg:43.16 psnr_y:42.71 psnr_u:42.63 psnr_v:46.82 
n:58 mse_avg:8922.72 mse_y:12104.08 mse_u:4167.41 mse_v:952.61 psnr_avg:20.69 psnr_y:19.37 psnr_u:24.00 psnr_v:30.41 
n:59 mse_avg:28114.07 mse_y:39135.78 mse_u:8144.83 mse_v:3996.46 psnr_avg:15.71 psnr_y:14.27 psnr_u:21.09 psnr_v:24.18 
n:60 mse_avg:22532.94 mse_y:30983.22 mse_u:9970.72 mse_v:1294.01 psnr_avg:16.67 psnr_y:15.29 psnr_u:20.21 psnr_v:29.08 
n:61 mse_avg:86.07 mse_y:97.47 mse_u:92.66 mse_v:33.85 psnr_avg:40.85 psnr_y:40.31 psnr_u:40.53 psnr_v:44.90 
n:62 mse_avg:20849.56 mse_y:29186.27 mse_u:7106.05 mse_v:1246.20 psnr_avg:17.01 psnr_y:15.55 psnr_u:21.68 psnr_v:29.24 
n:63 mse_avg:31894.57 mse_y:46136.29 mse_u:4762.39 mse_v:2059.84 psnr_avg:15.16 psnr_y:13.56 psnr_u:23.42 psnr_v:27.06 
n:64 mse_avg:39590.95 mse_y:57323.19 mse_u:6330.26 mse_v:1922.64 psnr_avg:14.22 psnr_y:12.61 psnr_u:22.18 psnr_v:27.36 
n:65 mse_avg:75.72 mse_y:83.75 mse_u:96.84 mse_v:22.47 psnr_avg:41.41 psnr_y:40.97 psnr_u:40.34 psnr_v:46.68 
n:66 mse_avg:32859.05 mse_y:46856.04 mse_u:9252.62 mse_v:477.50 psnr_avg:15.03 psnr_y:13.49 psnr_u:20.53 psnr_v:33.41 
n:67 mse_avg:44674.82 mse_y:65174.46 mse_u:6853.60 mse_v:497.50 psnr_avg:13.70 psnr_y:12.06 psnr_u:21.84 psnr_v:33.23 
n:68 mse_avg:34264.98 mse_y:49174.07 mse_u:8505.39 mse_v:388.21 psnr_avg:14.85 psnr_y:13.28 psnr_u:20.90 psnr_v:34.31 
n:69 mse_avg:163.23 mse_y:191.12 mse_u:188.22 mse_v:26.71 psnr_avg:38.07 psnr_y:37.38 psnr_u:37.45 psnr_v:45.93 
n:70 mse_avg:40318.40 mse_y:58834.46 mse_u:6089.05 mse_v:483.54 psnr_avg:14.14 psnr_y:12.50 psnr_u:22.35 psnr_v:33.35 
n:71 mse_avg:17406.42 mse_y:24610.18 mse_u:5393.32 mse_v:604.45 psnr_avg:17.79 psnr_y:16.29 psnr_u:22.88 psnr_v:32.38 
